value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
584.177526014,0,0,501,95.301881667,269.853515819,-179.786873826,-102.190997647
1245.22564783,0,0,968,-23.6842547476,285.0,168.998520704,-153.088618127
-0.288899468388,0,0,0,26.6868226047,-41.05,-16.9267655497,31.0010434766
-753.403300493,0,0,-790,80.9201088153,-691.434682382,372.8,274.311273073
436.643782694,0,0,454,26.3449177629,-413.094117605,147.3,222.092982536
943.521031142,0,0,783,14.5854521441,52.5677420097,49.7098581772,43.6579788114
413.223807331,0,0,168,-0.207792101723,108.079970392,78.4619015829,58.8897274573
2446.38281839,0,0,1752,-153.014741771,973.0,-318.198051534,192.595611699
-789.579318742,0,0,0,-38.9308596909,2.82324998024e-11,-538.2,-212.448459051
2370.76928269,0,0,2028,8.41933254169,220.5,105.217489041,8.63246110757
-552.499783891,0,0,-669,24.1406862983,8.09202528343e-14,55.6,36.7595298104
-841.243772502,0,0,426,68.0884703472,-881.1,-262.195194464,-192.037048385
-1340.71117324,0,0,0,200.548376024,-394.8,-650.647636588,-495.811912677
2844.56469402,0,0,2078,-221.9019296,486.5,434.66662183,67.300001793
484.450053371,0,0,255,28.927171177,453.450901422,-224.0,-28.9280192273
-79.9376485879,0,0,168,-2.50604915539,-108.079970392,-78.4619015829,-58.8897274573
981.197779024,0,0,280,-98.1223098651,575.300675734,562.570102298,-338.550689143
713.31746694,0,0,696,140.144654285,-210.9,-89.2925705604,177.365383216
-422.607092295,0,0,0,-21.3878022586,-362.4,-185.728546766,146.909256729
-793.173997847,0,0,0,-44.6626045381,-366.15554072,-196.7,-185.655852589
100.005609982,0,0,0,44.2250306072,481.336919423,-259.0,-166.556340049
-472.707910274,0,0,907,120.681101782,-591.668555866,-494.067492859,-414.652963332
-171.000300926,0,0,0,-119.501116322,-265.003773558,82.4,131.104588954
1415.23972332,0,0,1558,-4.46743272276,-174.330913782,83.1,-47.0619301715
1397.3670897,0,0,1543,-31.3382690821,392.742520616,-320.862412102,-186.174749729
1126.74154897,0,0,202,158.404303387,539.707031638,359.573747651,-132.943533703
-0.181879033683,0,0,0,-0.181879033683,1.90697729875e-13,-5.74839864746e-14,1.09850817884e-14
-2022.78783958,0,0,-1916,-11.9476112248,-92.4,-30.2641702348,27.823941877
-432.840967924,0,0,-982,-124.291144823,259.5,129.927160641,284.023016258
223.889682247,0,0,450,55.9523552397,-311.6,146.795367774,-117.258040767
8.51280960715,0,0,0,-2.94443280152,48.05,-12.2939046424,-24.298852949
-1767.40168306,0,0,-1785,1.26314393822,26.15,7.99750849367,-17.8123354939
492.3814273,0,0,480,22.6169117276,69.8,-46.5276262021,-33.5078582259
-309.135795047,0,0,-373,-27.7977103708,133.5,68.4058736206,-110.243958297
-781.99389059,0,0,-942,-42.4165752415,186.4,-47.3761543395,63.3988389912
-1703.16602848,0,0,-2140,-10.0031257057,416.0,215.667568262,-184.83047104
3957.12859175,0,0,4178,47.7593889148,3.05928038708e-11,-147.0,-121.630797167
3319.66218494,0,0,3346,-2.36048837471,246.817240079,-206.980071504,-63.81449526
