,variable,relative_importance,scaled_importance,percentage
0,value(t+10)_std_5,1.0,1.0,0.0493284453199
1,value_std_5,0.978839576244,0.978839576244,0.0482846345137
2,value_ma_5,0.842047572136,0.842047572136,0.0415368976188
3,value(t+10),0.834594666958,0.834594666958,0.0411692573933
4,value(t+4)_std_5,0.825710654259,0.825710654259,0.0407310228586
5,value,0.766218245029,0.766218245029,0.037796354803
6,value(t+3)_std_5,0.765636265278,0.765636265278,0.0377676466467
7,value(t+9)_std_5,0.72805583477,0.72805583477,0.0359138624353
8,value(t+1)_std_5,0.713107228279,0.713107228279,0.0351764709174
9,value(t+2)_std_5,0.709925949574,0.709925949574,0.0350195433847
10,value(t+6)_std_5,0.707621276379,0.707621276379,0.034905857439
11,value(t+5)_std_5,0.69615906477,0.69615906477,0.0343404443604
12,value(t+1)_ma_5,0.664738595486,0.664738595486,0.0327905214594
13,value(t+9),0.638029456139,0.638029456139,0.0314730011396
14,value(t+8)_std_5,0.634064078331,0.634064078331,0.0312773952172
15,value(t+7)_std_5,0.622897803783,0.622897803783,0.0307265802538
16,value(t+10)_ma_5,0.601411581039,0.601411581039,0.02966669829
17,value(t+8),0.572172880173,0.572172880173,0.0282243986331
18,value(t+2)_ma_5,0.54593282938,0.54593282938,0.0269300177224
19,value(t+1),0.520443558693,0.520443558693,0.0256726716271
20,value(t+3)_ma_5,0.492580235004,0.492580235004,0.0242982171881
21,value(t+5),0.488116115332,0.488116115332,0.0240780091049
22,value(t+7),0.488045334816,0.488045334816,0.0240745176121
23,value(t+4)_ma_5,0.473546534777,0.473546534777,0.0233593143471
24,value(t+4),0.461223125458,0.461223125458,0.0227514197244
25,value(t+9)_ma_5,0.459116727114,0.459116727114,0.0226475143689
26,value(t+8)_ma_5,0.456066101789,0.456066101789,0.0224970317644
27,value(t+6),0.449270248413,0.449270248413,0.0221618028827
28,value(t+3),0.438007563353,0.438007563353,0.0216062321385
29,value(t+2),0.435648739338,0.435648739338,0.0214898750171
30,value(t+7)_ma_5,0.430698662996,0.430698662996,0.021245695447
31,value(t+6)_ma_5,0.42006790638,0.42006790638,0.0207212967505
32,value(t+5)_ma_5,0.412284463644,0.412284463644,0.0203373516211
